Airbase_ID,Strategic_Resource,Resource_Class,Initial_Stock,Target_Stock,Reorder_Stock,Critical_Stock,Supply_Parent,Mapping_Status,Source,Notes
BAGRAM,AMMUNITION_AIM120,DEPLOYMENT_FINITE_STOCK,52,52,0,0,OFF_MAP,VALIDATED_OR_EXPLICITLY_UNRESOLVED_BY_VARIANT,NODE_STORE_SUMMARY,Finite deployment-derived stock; no normal campaign resupply or threshold replenishment.
BAGRAM,AMMUNITION_AIM9,DEPLOYMENT_FINITE_STOCK,26,26,0,0,OFF_MAP,VALIDATED_OR_EXPLICITLY_UNRESOLVED_BY_VARIANT,NODE_STORE_SUMMARY,Finite deployment-derived stock; no normal campaign resupply or threshold replenishment.
BAGRAM,AMMUNITION_GBU12,CONSUMABLE_STRATEGIC,102,102,84,36,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
BAGRAM,AMMUNITION_GBU31_V1,CONSUMABLE_STRATEGIC,43,43,36,16,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
BAGRAM,AMMUNITION_GBU31_V3,CONSUMABLE_STRATEGIC,43,43,36,16,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
BAGRAM,AMMUNITION_GBU38,CONSUMABLE_STRATEGIC,216,216,180,84,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
BAGRAM,AMMUNITION_GBU54,CONSUMABLE_STRATEGIC,120,120,96,48,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
BAGRAM,EQUIPMENT_AAQ13,RETURNABLE_STRATEGIC_EQUIPMENT,16,16,13,10,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,"Returnable strategic equipment; Initial=Target with 20% reserve, Reorder 80%, Critical 60%; normal logistics resupply."
BAGRAM,EQUIPMENT_AAQ14,RETURNABLE_STRATEGIC_EQUIPMENT,16,16,13,10,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,"Returnable strategic equipment; Initial=Target with 20% reserve, Reorder 80%, Critical 60%; normal logistics resupply."
BAGRAM,EQUIPMENT_AAQ33,RETURNABLE_STRATEGIC_EQUIPMENT,16,16,13,10,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,"Returnable strategic equipment; Initial=Target with 20% reserve, Reorder 80%, Critical 60%; normal logistics resupply."
