source_domain,country,reporting_point,lat_dd,lon_dd,airway,altitude_band,omw_gate_role,analysis_status,notes
MANAS,TAJIKISTAN,PINAX,37.250000,69.100000,V848,FL220-FL290,NORTH_ALTERNATE,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Tajikistan; candidate northern corridor, not a claim that 22nd EARS used this exact airway"
MANAS,TAJIKISTAN,EGPAN,38.416667,70.733333,V876,FL190-FL290,NORTH_PRIMARY_LOW,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Tajikistan; current OMW northern gate is positioned approximately 50 km NNE before EGPAN"
MANAS,TAJIKISTAN,FIRUZ,36.666667,71.633333,P500,FL310-FL430,NORTH_ALTERNATE_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Tajikistan; high-level eastern alternate"
MANAS,TAJIKISTAN,EGPAN,38.416667,70.733333,M881,FL310-FL430,NORTH_PRIMARY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Tajikistan; high airway associated with EGPAN"
MANAS,UZBEKISTAN,AMDAR,37.208333,67.343333,A454,FL190-FL290,NORTHWEST_ALTERNATE,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Uzbekistan; potential northwest alternate only, no OMW runtime assignment yet"
MANAS,UZBEKISTAN,AMDAR,37.208333,67.343333,A466,FL310-FL430,NORTHWEST_ALTERNATE_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Uzbekistan; high-level alternate"
MANAS,TURKMENISTAN,RAPTA,37.450000,65.633333,B442,7000FT-FL290,NORTHWEST_ALTERNATE,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Turkmenistan; relevant to far-northwest AAR geometry, not yet assigned"
MANAS,TURKMENISTAN,LEMOD,36.166667,64.291667,M696/N644,FL180-FL430,NORTHWEST_ALTERNATE,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Turkmenistan; relevant to western AAR geometry, not yet assigned"
MANAS,TURKMENISTAN,RANAH,35.583333,63.200000,V838/L750,FL160-FL430,NORTHWEST_ALTERNATE,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Turkmenistan; relevant to western AAR geometry, not yet assigned"
AL_UDEID,PAKISTAN,GADER,29.683250,61.467617,G206,7000FT-FL290,SOUTHWEST_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; westernmost listed Pakistan entry, but an Al Udeid route via Pakistan must be evaluated against connected airway geometry"
AL_UDEID,PAKISTAN,GADER,29.683250,61.467617,A453,7000FT-FL290,SOUTHWEST_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; alternate airway at same reporting point"
AL_UDEID,PAKISTAN,SOKIR,29.133333,64.416950,M375,10000FT-FL290,SOUTH_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; close to the current OMW southern materialization concept"
AL_UDEID,PAKISTAN,SERKA,29.850000,66.250283,V390,11000FT-FL290,SOUTH_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; candidate for south-central ingress"
AL_UDEID,PAKISTAN,RIMPA,31.433333,67.600000,G202,12000FT-FL290,SOUTHEAST_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; candidate for southeast/central ingress"
AL_UDEID,PAKISTAN,LAJAK,33.933050,70.499717,M696,FL160-FL290,EAST_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; candidate eastern ingress"
AL_UDEID,PAKISTAN,KOTAL,34.099717,71.149450,A455,12000FT-FL290,EAST_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; candidate eastern ingress"
AL_UDEID,PAKISTAN,OMKOE,35.616117,71.516117,G206,FL210-FL290,NORTHEAST_ENTRY,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; candidate northeast ingress through Pakistan"
AL_UDEID,PAKISTAN,SERKA,29.850000,66.250283,B466,FL310-FL430,SOUTH_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level south-central ingress"
AL_UDEID,PAKISTAN,ASLUM,31.016667,66.616667,G792,FL310-FL430,SOUTH_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level southern ingress"
AL_UDEID,PAKISTAN,ROSIE,31.666667,68.999717,L750,FL310-FL430,SOUTHEAST_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level southeast ingress"
AL_UDEID,PAKISTAN,PAVLO,32.866383,69.433050,N644,FL310-FL430,EAST_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level eastern ingress"
AL_UDEID,PAKISTAN,SITAX,33.083333,70.050000,A466,FL310-FL430,EAST_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level eastern ingress"
AL_UDEID,PAKISTAN,LAJAK,33.933050,70.499717,M881,FL310-FL430,EAST_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level eastern ingress"
AL_UDEID,PAKISTAN,PADDY,36.466117,71.632783,P500,FL310-FL430,NORTHEAST_ENTRY_HIGH,AIP_DERIVED,"Published Kabul FIR entry/exit point to/from Pakistan; high-level northeast ingress; demonstrates why a single southern gate cannot represent every Southwest-Asia tanker route"
